Tipo de Registro	Fecha Inicial	Fecha Fin	Fecha Foto Stock	Id Cliente	Id Sucursal	descripción Sucursal	Id Producto	Nro de Lote	Fecha Validez Lote	Cantidad en Stock	Unidad de Medida	Tipo Stock
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	369	1		3	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	2721	1		2	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	2722	1		80	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	2723	1		0	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	2724	1		83	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	2725	1		593	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	2729	1		54	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	2730	1		90	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	2734	1		146	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	2739	1		112	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	2848	1		136	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	3230	1		2	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	7770	1		147	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	8061	1		20	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	8062	1		6	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	8068	1		386	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	8069	1		158	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	8146	1		645	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	8708	1		175	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	9052	1		720	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	9054	1		1331	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	10515	1		20	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	11076	1		78	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	11077	1		170	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	11078	1		219	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	11079	1		0	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	11080	1		54	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	11081	1		22	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	11082	1		41	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	11097	1		1667	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	11490	1		91	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	11491	1		64	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	11492	1		84	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	11493	1		110	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	11961	1		163	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	12037	1		0	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	12038	1		21	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	12041	1		177	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	12043	1		320	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	12871	1		0	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	12872	1		0	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	12873	1		186	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	13372	1		0	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	13373	1		0	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	13374	1		0	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	13386	1		116	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	13387	1		6519	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	17883	1		18	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	17884	1		102	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	17979	1		214	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	17980	1		0	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	18217	1		168	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	18234	1		3689	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	18315	1		82	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	18451	1		0	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	18452	1		41	UNI	H
L	2021-12-20	2021-12-20	2021-12-20	9100063766	1	CD	18453	1		1	UNI	H
E												
