COD_DISTRIBUIDOR;MATERIAL;CANTIDAD;PERIODO
12917;4152;79.000;202106
12917;3004;0.000;202106
12917;3006;0.000;202106
12917;4084;78.000;202106
12917;4088;16.000;202106
12917;4085;0.000;202106
12917;4097;1.000;202106
12917;4101;164.000;202106
12917;4095;3.000;202106
12917;4106;2.000;202106
12917;2582;4.000;202106
12917;55;89.000;202106
12917;54;45.000;202106
12917;35;206.000;202106
12917;36;88.000;202106
12917;38;0.000;202106
12917;29;0.000;202106
12917;41;231.000;202106
12917;4139;1.000;202106
12917;65;6.000;202106
12917;88;0.000;202106
12917;91;0.000;202106
12917;94;0.000;202106
12917;1829;5.000;202106
12917;3619;0.000;202106
12917;4174;2.000;202106
12917;4176;0.000;202106
12917;3073;0.000;202106
12917;4111;0.000;202106
12917;4112;0.000;202106
12917;3579;0.000;202106
12917;3225;4.000;202106
12917;4110;0.000;202106
12917;2564;4.000;202106
12917;4086;29.000;202106
12917;4153;57.000;202106
12917;4093;0.000;202106
12917;3370;1.000;202106
12917;3405;2.000;202106
12917;2647;0.000;202106
12917;1072;618.000;202106
12917;1071;117.000;202106
12917;1322;0.000;202106
12917;1533;3.000;202106
12917;2531;0.000;202106
12917;1073;93.000;202106
12917;2693;144.000;202106
12917;2694;64.000;202106
12917;2697;0.000;202106
12917;2695;0.000;202106
12917;2696;0.000;202106
12917;53;0.000;202106
12917;1311;0.000;202106
12917;1532;1.000;202106
12917;2252;0.000;202106
12917;3722;0.000;202106
12917;3580;0.000;202106
12917;3808;0.000;202106
12917;3813;0.000;202106
12917;3534;0.000;202106
12917;3743;0.000;202106
12917;3574;1.000;202106
12917;3301;58.000;202106
12917;3698;0.000;202106
12917;4087;0.000;202106
12917;3085;0.000;202106
12917;4162;19.000;202106
12917;4161;18.000;202106
12917;4160;16.000;202106
12917;4148;142.000;202106
12917;4149;1.000;202106
12917;4100;1.000;202106
12917;4105;0.000;202106
12917;4104;0.000;202106
12917;4150;0.000;202106
12917;3829;37.000;202106
